Kingdom,Phylum,C1,C2,C3,F1,F2,F3,D1,D2,D3,0036.1,0036.2,0036.3,1887.1,1887.2,1887.3,G1,G2,G3,R1,R2,R3,S1,S2,S3
Archaea,__Euryarchaeota,0,14,16,7,16,10,5,3,8,4,6,6,3,5,5,0,0,0,0,0,0,0,0,0
Archaea,__Thaumarchaeota,1,2,2,0,3,1,2,2,1,7,0,3,2,1,1,0,0,0,0,0,0,0,0,0
Bacteria,__Acidobacteria,447,409,296,377,377,332,351,323,361,388,251,422,391,403,346,0,0,0,0,0,0,51,36,26
Bacteria,__Actinobacteria,148,231,220,275,230,307,239,280,220,256,165,183,154,188,143,0,0,25,0,0,0,183,86,319
Bacteria,__Armatimonadetes,55,51,67,56,62,48,81,74,44,58,60,53,43,56,55,0,0,0,0,0,0,0,0,0
Bacteria,__Bacteroidetes,"2,426","1,952","1,978","2,505","2,670","1,732","2,216","2,145","2,221","3,092","2,253","2,892","3,025","2,228","1,840",311,273,126,"1,197","1,000","1,396","2,826",471,418
Bacteria,__Balneolaeota,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,__Candidatus Melainabacteria,24,17,23,26,26,11,24,15,20,21,11,16,22,33,12,0,0,0,0,0,0,0,0,0
Bacteria,__Chlamydiae,61,48,59,71,112,111,76,124,48,84,92,106,47,53,29,0,0,0,0,0,0,75,8,56
Bacteria,__Chloroflexi,664,"1,140",977,950,901,930,"1,098",796,900,838,737,992,858,803,668,0,0,0,0,0,3,62,17,3
Bacteria,__Cyanobacteria,7,6,0,0,1,0,0,0,0,0,0,0,0,0,1,10,15,8,0,0,0,"8,712","11,363","11,852"
Bacteria,__Deinococcus-Thermus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,4,13
Bacteria,__Fibrobacteres,4,15,12,7,9,6,0,0,3,5,3,2,5,6,0,0,0,0,0,0,0,0,0,0
Bacteria,__Firmicutes,228,599,377,670,492,492,290,499,298,263,253,197,226,239,126,"5,026","4,842","3,182","7,874","11,024","9,291","3,048",395,"2,090"
Bacteria,__Gemmatimonadetes,126,125,56,77,81,63,93,68,85,106,52,118,98,97,79,0,0,0,0,0,0,35,39,43
Bacteria,__Ignavibacteriae,72,68,99,87,130,96,99,99,96,112,105,74,64,54,43,0,0,0,0,0,0,0,0,0
Bacteria,__Kiritimatiellaeota,2,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
Bacteria,__Nitrospirae,105,67,60,71,78,55,87,66,87,64,54,94,82,75,79,0,0,0,0,0,0,3,0,0
Bacteria,__Planctomycetes,280,312,306,369,356,260,314,304,265,238,247,270,268,252,222,138,164,108,0,0,0,294,179,324
Bacteria,__Proteobacteria,"3,886","3,486","4,270","4,359","4,757","3,963","5,216","4,483","4,357","5,814","4,347","5,117","5,639","4,702","3,826",892,890,761,"2,266","1,564","2,593","5,867","1,870","5,305"
Bacteria,__Rhodothermaeota,13,50,82,56,43,42,53,50,30,26,26,11,10,12,9,0,0,0,0,0,0,0,0,0
Bacteria,__Spirochaetes,38,25,50,32,31,30,31,80,32,37,22,46,46,23,17,0,0,0,0,0,0,0,1,0
Bacteria,__Verrucomicrobia,"1,260",929,"1,008","1,044","1,117",830,"1,216",939,"1,070","1,273",897,"1,596","1,446","1,385","1,153",0,0,21,0,0,0,416,171,381
__,__,"3,911","3,049","2,988","3,089","3,331","2,968","3,421","2,675","3,115","3,258","2,755","3,565","3,893","3,295","3,023",3,0,0,452,315,542,527,"1,305","1,418"
