Group,Organism,Kingdom,Phylum,Class,Order,Family,Genus,Species,Score,Hit,Accession_Number_1,Accession_Number_2,Accession_Number_3,C1,C2,C3,F1,F2,F3,D1,D2,D3,0036.1,0036.2,0036.3,1887.1,1887.2,1887.3,G1,G2,G3,R1,R2,R3,S1,S2,S3
denovo0,Bacteria; __Cyanobacteria; __; __Nostocales; __Calotrichaceae; __Dulcicalothrix; __Dulcicalothrix necridiiformans,Bacteria,__Cyanobacteria,__,__Nostocales,__Calotrichaceae,__Dulcicalothrix,__Dulcicalothrix necridiiformans,1,1,NR_164867.1,NA,NA,7,6,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8068,10511,10467
denovo1,Bacteria; __Firmicutes; __Tissierellia; __Tissierellales; __Peptoniphilaceae; __Peptoniphilus; __Peptoniphilus stercorisuis,Bacteria,__Firmicutes,__Tissierellia,__Tissierellales,__Peptoniphilaceae,__Peptoniphilus,__Peptoniphilus stercorisuis,1,1,NR_134130.1,NA,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4054,7057,4525,0,0,0
denovo2,Bacteria; __Proteobacteria; __Gammaproteobacteria; __Chromatiales; __Ectothiorhodospiraceae; __Thiohalomonas; __Thiohalomonas nitratireducens,Bacteria,__Proteobacteria,__Gammaproteobacteria,__Chromatiales,__Ectothiorhodospiraceae,__Thiohalomonas,__Thiohalomonas nitratireducens,1,1,NR_043974.1,NA,NA,839,757,1700,1365,1726,1406,1815,1563,1664,2314,1865,1861,2051,1613,1153,0,0,0,0,0,0,0,0,0
denovo3,Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Peptostreptococcaceae; __Peptostreptococcus; __Peptostreptococcus russellii,Bacteria,__Firmicutes,__Clostridia,__Clostridiales,__Peptostreptococcaceae,__Peptostreptococcus,__Peptostreptococcus russellii,1,1,NR_115155.1,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2175,2633,2698,0,0,1
denovo4,Bacteria; __Proteobacteria; __Alphaproteobacteria; __Rhizobiales; __Rhizobiaceae; __Rhizobium; __Rhizobium daejeonense,Bacteria,__Proteobacteria,__Alphaproteobacteria,__Rhizobiales,__Rhizobiaceae,__Rhizobium,__Rhizobium daejeonense,1,1,NR_114121.1,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1969,1326,2255,0,0,0
denovo5,Bacteria; __Firmicutes; __Bacilli; __Bacillales; __Bacillaceae; __Bacillus; __Bacillus circulans,Bacteria,__Firmicutes,__Bacilli,__Bacillales,__Bacillaceae,__Bacillus,__Bacillus circulans,1,1,NR_118445.1,NA,NA,17,31,14,51,33,25,12,19,10,7,12,9,8,8,8,4112,4051,2614,0,0,0,0,0,0
denovo6,Bacteria; __Proteobacteria; __Gammaproteobacteria; __Aeromonadales; __Aeromonadaceae; __Aeromonas; __Aeromonas veronii,Bacteria,__Proteobacteria,__Gammaproteobacteria,__Aeromonadales,__Aeromonadaceae,__Aeromonas,__Aeromonas veronii,1,1,NR_112838.1,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,167,47,0,0,1,1944,443,2588
denovo7,Bacteria; __Bacteroidetes; __Cytophagia; __Cytophagales; __Cytophagaceae; __Ohtaekwangia; __Ohtaekwangia koreensis,Bacteria,__Bacteroidetes,__Cytophagia,__Cytophagales,__Cytophagaceae,__Ohtaekwangia,__Ohtaekwangia koreensis,1,1,NR_117435.1,NA,NA,256,293,147,267,259,149,224,179,180,222,217,330,480,417,390,0,0,0,0,0,0,0,0,0
denovo8,Bacteria; __Firmicutes; __Bacilli; __Bacillales; __Bacillaceae; __Bacillus; __Bacillus wiedmannii,Bacteria,__Firmicutes,__Bacilli,__Bacillales,__Bacillaceae,__Bacillus,__Bacillus wiedmannii,1,1,NR_152692.1,NA,NA,0,3,0,0,1,1,1,0,3,1,0,2,1,0,1,0,0,0,0,0,0,1690,149,1083
denovo9,; __; __; __; __; __; __,,__,__,__,__,__,__,1,1,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,421,1060,1242
denovo10,Bacteria; __Proteobacteria; __Betaproteobacteria; __Burkholderiales; __; __Ideonella; __Ideonella paludis,Bacteria,__Proteobacteria,__Betaproteobacteria,__Burkholderiales,__,__Ideonella,__Ideonella paludis,1,1,NR_148652.1,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1672,598,836
denovo11,Bacteria; __Verrucomicrobia; __Verrucomicrobiae; __Verrucomicrobiales; __Verrucomicrobia subdivision 3; __Limisphaera; __Limisphaera ngatamarikiensis,Bacteria,__Verrucomicrobia,__Verrucomicrobiae,__Verrucomicrobiales,__Verrucomicrobia subdivision 3,__Limisphaera,__Limisphaera ngatamarikiensis,1,1,NR_134756.1,NA,NA,262,130,287,203,224,147,194,169,231,270,191,383,152,243,112,0,0,0,0,0,0,0,0,0
denovo12,Bacteria; __Bacteroidetes; __Cytophagia; __Cytophagales; __; __Chryseolinea; __Chryseolinea soli,Bacteria,__Bacteroidetes,__Cytophagia,__Cytophagales,__,__Chryseolinea,__Chryseolinea soli,1,1,NR_165708.1,NA,NA,186,136,126,123,202,145,155,200,179,272,160,170,199,108,105,0,0,0,0,0,0,0,0,0
denovo13,; __; __; __; __; __; __,,__,__,__,__,__,__,1,1,NA,NA,NA,92,58,176,123,120,83,47,29,72,86,93,104,81,119,142,0,0,0,0,0,0,0,0,0
denovo14,Bacteria; __Bacteroidetes; __Saprospiria; __Saprospirales; __Haliscomenobacteraceae; __Portibacter; __Portibacter lacus,Bacteria,__Bacteroidetes,__Saprospiria,__Saprospirales,__Haliscomenobacteraceae,__Portibacter,__Portibacter lacus,1,1,NR_113569.1,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,842,679,1008,0,0,0
denovo15,Bacteria; __Bacteroidetes; __Cytophagia; __Cytophagales; __Cytophagaceae; __Ohtaekwangia; __Ohtaekwangia koreensis,Bacteria,__Bacteroidetes,__Cytophagia,__Cytophagales,__Cytophagaceae,__Ohtaekwangia,__Ohtaekwangia koreensis,1,1,NR_117435.1,NA,NA,105,105,157,141,186,68,96,134,121,289,135,132,74,33,44,0,0,0,0,0,0,0,0,0
denovo16,Bacteria; __Proteobacteria; __Gammaproteobacteria; __Chromatiales; __Thioprofundaceae; __Thioprofundum; __Thioprofundum lithotrophicum,Bacteria,__Proteobacteria,__Gammaproteobacteria,__Chromatiales,__Thioprofundaceae,__Thioprofundum,__Thioprofundum lithotrophicum,1,1,NR_112829.1,NA,NA,277,158,108,124,139,88,130,173,207,185,128,215,256,189,223,0,0,0,0,0,0,0,0,0
denovo17,Bacteria; __Proteobacteria; __Alphaproteobacteria; __Rhodospirillales; __Rhodospirillaceae; __Azospirillum; __Azospirillum oryzae,Bacteria,__Proteobacteria,__Alphaproteobacteria,__Rhodospirillales,__Rhodospirillaceae,__Azospirillum,__Azospirillum oryzae,1,1,NR_114059.1,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,654,688,504,0,0,0,0,0,4
denovo18,Bacteria; __Proteobacteria; __Deltaproteobacteria; __Myxococcales; __Polyangiaceae; __Racemicystis; __Racemicystis persica,Bacteria,__Proteobacteria,__Deltaproteobacteria,__Myxococcales,__Polyangiaceae,__Racemicystis,__Racemicystis persica,1,1,NR_156102.1,NA,NA,165,109,74,80,133,99,139,86,107,119,98,139,141,108,103,0,0,0,0,0,0,0,0,0
denovo19,Bacteria; __Bacteroidetes; __Cytophagia; __Cytophagales; __; __Chryseolinea; __Chryseolinea soli,Bacteria,__Bacteroidetes,__Cytophagia,__Cytophagales,__,__Chryseolinea,__Chryseolinea soli,1,1,NR_165708.1,NA,NA,105,36,43,64,122,65,75,44,55,149,83,139,296,135,94,0,0,0,0,0,0,0,0,0
denovo20,Bacteria; __Bacteroidetes; __Cytophagia; __Cytophagales; __Cytophagaceae; __Ohtaekwangia; __Ohtaekwangia koreensis,Bacteria,__Bacteroidetes,__Cytophagia,__Cytophagales,__Cytophagaceae,__Ohtaekwangia,__Ohtaekwangia koreensis,1,1,NR_117435.1,NA,NA,100,64,51,55,161,68,106,100,83,110,74,82,119,93,110,0,0,0,0,0,0,0,0,0
denovo21,; __; __; __; __; __; __,,__,__,__,__,__,__,1,1,NA,NA,NA,157,102,37,80,94,46,109,156,96,78,57,46,249,174,164,0,0,0,0,0,0,0,0,0
denovo22,Bacteria; __Firmicutes; __Bacilli; __Lactobacillales; __Lactobacillaceae; __Lactobacillus; __Lactobacillus graminis,Bacteria,__Firmicutes,__Bacilli,__Lactobacillales,__Lactobacillaceae,__Lactobacillus,__Lactobacillus graminis,1,1,NR_042438.1,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,751,287,1083,0,0,0
denovo23,Bacteria; __Proteobacteria; __Alphaproteobacteria; __Rhizobiales; __; __Nordella; __Nordella oligomobilis,Bacteria,__Proteobacteria,__Alphaproteobacteria,__Rhizobiales,__,__Nordella,__Nordella oligomobilis,1,1,NR_114615.1,NA,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,436,58,480
