Query,,,,,,Subject,,,,,,Score,,Identities,,Gaps,,Strand,,Taxonomy,,,,,,,,,Filter,NCBI_16S_ribosomal_RNA_20200305
Name,Q_Length,Q_Best,Q_Start,Q_End,Q_Coverage,Description,Accession,S_Length,S_Start,S_End,S_Coverage,Bit,E-Value,I_Match/Total,I_Pct.(%),G_Match/Total,G_Pct.(%),Query,Subject,Organism,species,genus,family,order,class,phylum,kingdom,superkingdom,Filter,
denovo0,444,2,1,444,100,"NR_164867.1 Dulcicalothrix necridiiformans V13 16S ribosomal RNA, partial sequence",NR_164867.1,1454,298,738,30.33,501.6,0,387/444,87,3/444,0,Plus,Plus,Bacteria; Cyanobacteria; ; Nostocales; Calotrichaceae; Dulcicalothrix; Dulcicalothrix necridiiformans,Dulcicalothrix necridiiformans,Dulcicalothrix,Calotrichaceae,Nostocales,,Cyanobacteria,,Bacteria,,
denovo1,440,1,1,440,100,"NR_134130.1 Peptoniphilus stercorisuis strain DSM 27563 16S ribosomal RNA, partial sequence",NR_134130.1,1484,342,781,29.65,763.8,0,431/440,97,0/440,0,Plus,Plus,Bacteria; Firmicutes; Tissierellia; Tissierellales; Peptoniphilaceae; Peptoniphilus; Peptoniphilus stercorisuis,Peptoniphilus stercorisuis,Peptoniphilus,Peptoniphilaceae,Tissierellales,Tissierellia,Firmicutes,,Bacteria,,
denovo2,440,1,1,440,100,"NR_043974.1 Thiohalomonas nitratireducens strain HRhD 3sp 16S ribosomal RNA, partial sequence",NR_043974.1,1483,308,746,29.6,612.4,0,407/443,91,7/443,1,Plus,Plus,Bacteria; Proteobacteria; Gammaproteobacteria; Chromatiales; Ectothiorhodospiraceae; Thiohalomonas; Thiohalomonas nitratireducens,Thiohalomonas nitratireducens,Thiohalomonas,Ectothiorhodospiraceae,Chromatiales,Gammaproteobacteria,Proteobacteria,,Bacteria,,
denovo3,440,1,1,440,100,"NR_115155.1 Peptostreptococcus russellii strain RT-10B 16S ribosomal RNA, partial sequence",NR_115155.1,1509,339,778,29.16,797,0,437/440,99,0/440,0,Plus,Plus,Bacteria; Firmicutes; Clostridia; Clostridiales; Peptostreptococcaceae; Peptostreptococcus; Peptostreptococcus russellii,Peptostreptococcus russellii,Peptostreptococcus,Peptostreptococcaceae,Clostridiales,Clostridia,Firmicutes,,Bacteria,,
denovo4,440,3,1,440,100,"NR_114121.1 Rhizobium daejeonense strain NBRC 102495 16S ribosomal RNA, partial sequence",NR_114121.1,1410,280,719,31.21,503.4,0,385/441,87,2/441,0,Plus,Plus,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Rhizobium; Rhizobium daejeonense,Rhizobium daejeonense,Rhizobium,Rhizobiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,,Bacteria,,
denovo5,440,2,1,440,100,"NR_118445.1 Bacillus circulans subsp. circulans strain ATCC 4513 16S ribosomal RNA, partial sequence >gi|645321493|ref|NR_118446.1| Bacillus circulans subsp. circulans strain ATCC 4513 16S ribosomal RNA, partial sequence",NR_118445.1,1291,227,666,34.08,802.6,0,438/440,99,0/440,0,Plus,Plus,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus circulans,Bacillus circulans,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,,Bacteria,,
denovo6,439,4,1,439,100,"NR_112838.1 Aeromonas veronii strain JCM 7375 16S ribosomal RNA, partial sequence",NR_112838.1,1415,293,731,31.02,806.3,0,438/439,99,0/439,0,Plus,Plus,Bacteria; Proteobacteria; Gammaproteobacteria; Aeromonadales; Aeromonadaceae; Aeromonas; Aeromonas veronii,Aeromonas veronii,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria,Proteobacteria,,Bacteria,,
denovo7,439,1,1,439,100,"NR_117435.1 Ohtaekwangia koreensis strain 3B-2 16S ribosomal RNA, partial sequence",NR_117435.1,1444,312,750,30.4,750.9,0,428/439,97,0/439,0,Plus,Plus,Bacteria; Bacteroidetes; Cytophagia; Cytophagales; Cytophagaceae; Ohtaekwangia; Ohtaekwangia koreensis,Ohtaekwangia koreensis,Ohtaekwangia,Cytophagaceae,Cytophagales,Cytophagia,Bacteroidetes,,Bacteria,,
denovo8,439,5,1,439,100,"NR_152692.1 Bacillus wiedmannii strain FSL W8-0169 16S ribosomal RNA, partial sequence",NR_152692.1,1540,342,780,28.51,806.3,0,438/439,99,0/439,0,Plus,Plus,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus wiedmannii,Bacillus wiedmannii,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,,Bacteria,,
denovo9,439,1,1,439,100,"NR_117880.1 Iphinoe spelaeobios strain LO2-B1 16S ribosomal RNA, partial sequence",NR_117880.1,1446,301,739,30.36,418.5,0,370/441,83,4/441,0,Plus,Plus,,,,,,,,,,"Filter: Query Coverage >= 85, Identity Percentage >= 85",
denovo10,439,1,1,439,100,"NR_148652.1 Ideonella paludis strain KBP-31 16S ribosomal RNA, partial sequence",NR_148652.1,1414,269,707,31.05,806.3,0,438/439,99,0/439,0,Plus,Plus,Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; ; Ideonella; Ideonella paludis,Ideonella paludis,Ideonella,,Burkholderiales,Betaproteobacteria,Proteobacteria,,Bacteria,,
denovo11,439,1,1,439,100,"NR_134756.1 Limisphaera ngatamarikiensis strain NGM72.4 16S ribosomal RNA, partial sequence",NR_134756.1,1410,301,739,31.13,512.6,0,385/439,87,0/439,0,Plus,Plus,Bacteria; Verrucomicrobia; Verrucomicrobiae; Verrucomicrobiales; Verrucomicrobia subdivision 3; Limisphaera; Limisphaera ngatamarikiensis,Limisphaera ngatamarikiensis,Limisphaera,Verrucomicrobia subdivision 3,Verrucomicrobiales,Verrucomicrobiae,Verrucomicrobia,,Bacteria,,
denovo12,439,1,1,439,100,"NR_165708.1 Chryseolinea soli strain KIS68-18 16S ribosomal RNA, partial sequence",NR_165708.1,1508,330,768,29.11,629,0,407/440,92,2/440,0,Plus,Plus,Bacteria; Bacteroidetes; Cytophagia; Cytophagales; ; Chryseolinea; Chryseolinea soli,Chryseolinea soli,Chryseolinea,,Cytophagales,Cytophagia,Bacteroidetes,,Bacteria,,
denovo13,439,1,1,436,99.32,"NR_151989.1 Mycoplasma ciconiae strain ST 57 16S ribosomal RNA, partial sequence",NR_151989.1,935,256,713,48.98,250.4,0,361/465,77,36/465,7,Plus,Plus,,,,,,,,,,"Filter: Query Coverage >= 85, Identity Percentage >= 85",
